x_h,y_h,x_s,y_s,source,bc,E,RMSE,DeltaT_max,CR,t_s,N_sw,U_spatial,J_Balanced,J_Comfort,J_Energy
1.5,0.5,0.5,2.5,point,RNNN,34.0625,49.772945916653555,662.3564466732087,0.10642578124999999,120.0,1,44.974542744888446,0.6526957414558234,0.6974188295639591,0.6267673579214047
1.5,0.5,1.5,2.5,point,RNNN,28.4375,43.47301608491721,640.280128129633,0.10818359375,120.0,1,39.253360755549615,0.6159336845730018,0.6640310682388516,0.5810079941920615
1.5,0.5,2.5,2.5,point,RNNN,35.9375,51.716272581313746,668.935359137614,0.10611328125000001,120.0,1,46.718841688910835,0.6643124172372306,0.7078537832728996,0.6415333873755169
1.5,0.5,3.5,2.5,point,RNNN,56.5625,66.43737054470951,724.9357017677471,0.10575520833333332,120.0,1,59.28880165446961,0.7690897945858929,0.7985697814940127,0.7859798409054666
1.5,0.5,4.5,2.5,point,RNNN,60.0,66.98013200300834,731.6039249241892,0.10575520833333332,120.0,0,59.703785416164116,0.755410110694753,0.7907289575899253,0.7802005497977335
1.5,0.5,0.5,3.5,point,RNNN,60.0,66.98013200300834,731.6039249241892,0.10575520833333332,120.0,0,59.703785416164116,0.755410110694753,0.7907289575899253,0.7802005497977335
1.5,0.5,1.5,3.5,point,RNNN,60.0,66.98013200300834,731.6039249241892,0.10575520833333332,120.0,0,59.703785416164116,0.755410110694753,0.7907289575899253,0.7802005497977335
1.5,0.5,2.5,3.5,point,RNNN,60.0,66.98013200300834,731.6039249241892,0.10575520833333332,120.0,0,59.703785416164116,0.755410110694753,0.7907289575899253,0.7802005497977335
1.5,0.5,3.5,3.5,point,RNNN,60.0,66.98013200300834,731.6039249241892,0.10575520833333332,120.0,0,59.703785416164116,0.755410110694753,0.7907289575899253,0.7802005497977335
1.5,0.5,4.5,3.5,point,RNNN,60.0,66.98013200300834,731.6039249241892,0.10575520833333332,120.0,0,59.703785416164116,0.755410110694753,0.7907289575899253,0.7802005497977335
1.5,0.5,0.5,4.5,point,RNNN,60.0,66.98013200300834,731.6039249241892,0.10575520833333332,120.0,0,59.703785416164116,0.755410110694753,0.7907289575899253,0.7802005497977335
1.5,0.5,1.5,4.5,point,RNNN,60.0,66.98013200300834,731.6039249241892,0.10575520833333332,120.0,0,59.703785416164116,0.755410110694753,0.7907289575899253,0.7802005497977335
1.5,0.5,2.5,4.5,point,RNNN,60.0,66.98013200300834,731.6039249241892,0.10575520833333332,120.0,0,59.703785416164116,0.755410110694753,0.7907289575899253,0.7802005497977335
1.5,0.5,3.5,4.5,point,RNNN,60.0,66.98013200300834,731.6039249241892,0.10575520833333332,120.0,0,59.703785416164116,0.755410110694753,0.7907289575899253,0.7802005497977335
