Config,x_s,E,RMSE,DeltaT_max,CR,t_s,N_sw,J_Balanced,J_Comfort,J_Energy
"1.2: $x_h$=2.5, N-R",4.0,24.887500000000003,4.757647116228198,24.589784925437733,0.7725285947712418,60.0,7,0.5512218292872154,0.5635738594030723,0.5844767287011612
"1.2: $x_h$=2.5, N-R",4.25,24.43750000000001,5.662134647878584,27.168603693389365,0.6417794117647058,60.0,5,0.6073015882846098,0.6309599966626688,0.6226602898379165
"1.2: $x_h$=2.5, N-R",4.5,30.362500000000015,7.489745733734251,30.400945436160157,0.44104330065359476,60.0,5,0.7328582063016369,0.7627773735404448,0.7487841123683314
"1.2: $x_h$=2.5, N-R",4.75,33.6375,8.471904170438094,32.12368393015227,0.3552124183006536,60.0,5,0.7973641320869433,0.8293881795612302,0.815124753001976
"1.3: $x_h$=2.5, R-R",0.25,46.712500000000006,7.122921333382244,32.54211936513552,0.5944338235294118,60.0,7,0.7553478286487416,0.7774551700795532,0.7790587312302983
"1.3: $x_h$=2.5, R-R",0.5,48.6625,5.920905920698245,30.190731499101148,0.7257516339869281,60.0,9,0.6887837712128434,0.6986589129838451,0.7371218480424228
"1.3: $x_h$=2.5, R-R",0.75,41.96249999999999,4.976902386847022,28.161836165907403,0.7987377450980392,60.0,9,0.6146987919382411,0.6246914417667441,0.6557775780706881
"1.3: $x_h$=2.5, R-R",1.0,40.400000000000006,3.591523440774632,24.48610228154461,0.8676470588235294,60.0,12,0.5342035556323366,0.5366337165237852,0.5892839210448034
"1.3: $x_h$=2.5, R-R",1.25,36.487500000000026,2.9520181686351763,21.67286642139012,0.871546568627451,60.0,15,0.48637027037616987,0.488228225417467,0.5383970226951011
"1.3: $x_h$=2.5, R-R",1.5,34.037499999999994,2.3194877772420774,17.298061216880278,0.7882377450980392,60.0,23,0.4495472807108021,0.45116675621696534,0.5010184388238224
"1.3: $x_h$=2.5, R-R",1.75,31.362500000000022,2.154929201209648,14.31530289542578,0.715484477124183,60.0,31,0.4332887767986464,0.4365120178647718,0.47861475615154714
"1.3: $x_h$=2.5, R-R",2.0,30.012499999999992,2.3088707494686096,9.77586026788681,0.595407679738562,60.0,63,0.4340118739496601,0.4368533361686834,0.47506681021553787
"1.3: $x_h$=2.5, R-R",2.25,28.262499999999978,2.5936813724236183,6.523702077405666,0.5060351307189541,60.0,125,0.44166760092550006,0.44423281060427533,0.4758572024575384
"1.3: $x_h$=2.5, R-R",2.5,25.662499999999945,3.2082988506353773,0.9945871404132802,0.3242638888888889,60.0,2005,0.5976531377237284,0.5566002571719335,0.6189207494790737
"1.3: $x_h$=2.5, R-R",2.75,27.312500000000032,2.7741152288418736,4.746635704391082,0.43929493464052294,60.0,207,0.4530265917195976,0.45512962468162,0.48241468823673206
"1.3: $x_h$=2.5, R-R",3.0,30.012499999999992,2.3088707494686096,9.77586026788681,0.595407679738562,60.0,63,0.4340118739496601,0.4368533361686834,0.47506681021553787
